task,category,condition,agent_id,n_files,core_recall,precision,f1,judge,Q,confidence,cost_usd,turns,n_calls,out_tok,doc_chars,files_read
P1,perf,C1,a424a12664418d4fb,12,0.875,0.75,0.808,8,0.828,4,0.713,18,26,11565,51356,7
P1,perf,C1,a7057a9b70ee785d3,12,0.875,0.833,0.854,8,0.844,4,0.6693,15,22,12816,49108,6
P1,perf,M-folder,a428c4ebf9b088c8f,10,0.875,0.9,0.887,8,0.858,4,0.5603,20,28,10490,19487,9
P1,perf,M-folder,a92d72ba9898e794a,11,0.875,0.818,0.846,8,0.841,4,0.7193,18,25,16167,19487,11
P1,perf,M-feature,a44f68a973981ede1,11,0.875,0.909,0.892,8,0.859,4,0.4368,12,19,9448,19638,7
P1,perf,M-feature,aaa66a7e16c8d441b,12,0.875,0.917,0.895,8,0.861,4,0.5928,16,24,12903,19638,10
P1,perf,M-playbook,aaf4345c16040f3f0,10,0.875,0.9,0.887,8,0.858,4,0.411,11,17,8531,13750,8
P1,perf,M-playbook,abcf8284d76b93980,11,0.875,0.909,0.892,8,0.859,4,0.6413,22,27,12782,13750,8
P1,perf,C0,ad5c153b18c921ec6,10,0.875,1.0,0.933,8,0.877,4,0.7828,24,30,17449,0,7
P1,perf,C0,af420b8966e8004e1,11,0.875,0.818,0.846,8,0.841,4,0.6272,16,25,14186,0,8
F1,feature,M-folder,a1368c542d43ceafb,6,1.0,1.0,1.0,9,0.97,4,0.4113,12,17,6497,19487,3
F1,feature,M-folder,aa0d7e689d52ccb3d,7,1.0,1.0,1.0,9,0.97,4,0.2851,7,12,6227,19487,4
F1,feature,C1,a442db7c1afb4c502,10,1.0,0.8,0.889,9,0.93,5,0.3585,12,20,6447,10900,4
F1,feature,C1,a971dccd21dc00b7c,9,1.0,0.667,0.8,8,0.873,4,0.4065,11,16,8058,11852,2
F1,feature,M-symbols,a4837e6b5c43b4345,7,1.0,1.0,1.0,9,0.97,4,0.3081,10,14,4396,22917,3
F1,feature,M-symbols,aa9b2f454a50ab11f,7,1.0,0.714,0.833,8,0.883,4,0.3115,11,22,4897,22917,4
F1,feature,M-playbook,a71cbcc63cc9aa12e,7,1.0,0.857,0.923,9,0.941,4,0.4034,19,24,8826,13750,2
F1,feature,M-playbook,afb1e02c07441146e,7,1.0,0.857,0.923,9,0.941,4,0.4712,14,18,6926,13750,3
F1,feature,M-feature,a7cb3a172920ed7b0,7,1.0,1.0,1.0,9,0.97,4,0.3043,13,18,4716,19638,4
F1,feature,M-feature,abe82856ab3b08770,8,1.0,0.75,0.857,8,0.89,4,0.3909,15,20,8276,19638,2
F1,feature,C0,abaa99f5bbf8e5f40,8,1.0,0.875,0.933,8,0.915,4,0.2582,10,15,4410,0,3
F1,feature,C0,ad35f36e1813c3718,7,1.0,1.0,1.0,9,0.97,4,0.4592,11,20,4938,0,7
P2,perf,M-folder,a20a2ee179350ba19,8,1.0,1.0,1.0,9,0.97,4,0.4849,15,20,11184,19487,7
P2,perf,M-folder,afcd0899df3299c88,8,1.0,1.0,1.0,9,0.97,4,0.4588,18,18,7609,19487,8
P2,perf,M-symbols,a2d27a1c68a1ab1e0,8,1.0,1.0,1.0,9,0.97,5,0.4967,16,16,8529,22917,5
P2,perf,M-symbols,af26740e8932f2182,8,1.0,1.0,1.0,9,0.97,5,0.4901,12,16,8131,22917,8
P2,perf,C0,a47ef6cf25851d038,8,1.0,1.0,1.0,9,0.97,4,0.6649,29,29,10581,0,6
P2,perf,C0,a9c7e28326c3379e6,8,1.0,1.0,1.0,9,0.97,4,0.478,16,20,9496,0,8
P2,perf,C1,a62522dd177aa35a6,11,1.0,0.727,0.842,9,0.915,4,0.6261,19,30,15187,18869,7
P2,perf,C1,af8af05a5303aca66,9,1.0,0.889,0.941,8,0.918,4,0.4289,13,21,7646,14801,4
P2,perf,M-playbook,a6e04a8c7b6fec8a5,8,1.0,1.0,1.0,9,0.97,5,0.4875,15,20,10171,13750,7
P2,perf,M-playbook,a7e38855c0a07a9b4,9,1.0,1.0,1.0,8,0.94,4,0.383,17,22,6439,13750,5
P2,perf,M-feature,ac3377e5efdb9955c,6,1.0,1.0,1.0,8,0.94,5,0.3049,12,15,4089,19638,5
P2,perf,M-feature,ae4382e1548a9ef14,9,1.0,0.889,0.941,9,0.948,4,0.3908,11,15,9307,19638,5
F4,feature,M-folder,a1d96fdb38a447e36,5,1.0,0.8,0.889,8,0.9,5,0.1241,6,7,3526,19487,2
F4,feature,M-folder,a85aa3374e635bb9c,5,1.0,0.6,0.75,8,0.86,4,0.1772,6,9,3167,19487,2
F4,feature,M-feature,a35cd2019af2a6a7c,4,1.0,1.0,1.0,9,0.97,5,0.1954,7,10,3102,19638,2
F4,feature,M-feature,a4c07f31104da53e4,5,1.0,0.8,0.889,8,0.9,5,0.1302,5,7,3024,19638,2
